Country,max temp,min temp,avg temp,avg rainfall,Cost of Living pw,pop2020,pop2019,GrowthRate,area,Density,Crime Index,Safety Index,Health Care Index,Pollution Index,CPI score 2020,Score,Political Rights,Civil Liberties,score_temp_variability,score_temp_optimality,score_sunshine,score_density,score_safety,score_corruption,score_healthcare,score_air_purity,score_freedom,score_ppp,score_income_proxy,utility_score,data_completeness
Australia,29.44444444,6.0,17.44444444,782.32,1339.9201409668262,25499.884,25203.198,1.0118,7692024.0,3.2765,42.44,57.56,77.71,23.48,77.0,97.0,40.0,57.0,26.222222239999994,59.55555552000001,,63.2765,57.56,77.0,77.71,76.52,100.0,43.56040794252683,46.475987018981144,56.242819820094255,10
Cyprus,31.77777778,7.555555556,18.94444444,391.16,1010.6785970643648,1207.359,1198.575,1.0073,9251.0,129.5617,31.97,68.03,52.71,56.77,57.0,94.0,38.0,56.0,23.111111104000003,49.555555488,,91.36255333333334,68.03,57.0,52.71,43.23,100.0,100.0,64.79339591441678,56.218080144984384,10
Maldives,31.27777778,24.61111111,27.83333333,2108.2,884.1397370236529,540.544,530.953,1.0181,300.0,1769.8433,55.99,44.01,,,43.0,40.0,19.0,21.0,100.0,74.16666666,,14.603134,44.01,43.0,,,40.0,30.766781028467445,72.5600897944666,56.158333633308374,8
Gabon,30.44444444,19.88888889,24.77777778,1930.4,1166.1081276630985,2225.734,2172.579,1.0245,267668.0,8.1167,,,,,30.0,22.0,3.0,19.0,95.55555559999999,93.33333339999997,,68.1167,,30.0,,,22.0,59.65587889475354,55.2534523453676,56.008571421257564,7
Peru,24.33333333,9.166666667,15.83333333,622.3,494.39330751516815,32971.854,32510.453,1.0142,1285216.0,25.2957,66.61,33.39,56.38,82.69,38.0,71.0,29.0,42.0,59.333333348000004,59.666666651,,98.31362,33.39,38.0,56.38,17.310000000000002,86.5,15.360908262331598,93.52022308282773,55.5415469588537,10
Belize,32.05555556,19.05555556,25.0,1727.2,742.2576915299023,397.628,390.353,1.0186,22966.0,16.997,51.31,48.69,,,,87.0,34.0,53.0,75.99999999999997,69.16666659999997,,76.997,48.69,,,,100.0,16.628218677896868,81.26851670830736,55.02231678038775,7
Vietnam,31.77777778,17.11111111,24.72222222,1943.1,,97338.579,96462.106,1.0091,331212.0,291.2398,46.09,53.91,58.28,85.92,36.0,19.0,3.0,16.0,62.66666663999999,73.33333329999999,,80.58401333333333,53.91,36.0,58.28,14.079999999999998,19.0,86.36138209184884,,54.882837200948885,9
Greece,30.5,5.333333333,16.94444444,642.62,752.8463482946538,10423.054,10473.455,0.9952,131990.0,79.3504,44.14,55.86,56.96,51.95,50.0,87.0,37.0,50.0,19.666666665999998,46.222222199,,94.70997333333334,55.86,50.0,56.96,48.05,100.0,100.0,80.61860682555448,54.54185569914924,10
Madagascar,28.61111111,14.61111111,21.88888889,1701.8,538.2709515675303,27691.018,26969.307,1.0268,587041.0,45.9411,,,,,25.0,60.0,27.0,33.0,68.0,100.0,,96.93726000000001,,25.0,,,70.0,0.0,92.057634947749,54.49968093423431,7
New Zealand,22.11111111,3.0,12.22222222,1267.46,1251.7072035770484,4822.233,4783.063,1.0082,270467.0,17.6845,42.26,57.74,73.58,23.81,88.0,99.0,40.0,59.0,43.55555556,23.111111100000002,,77.6845,57.74,88.0,73.58,76.19,100.0,50.0,49.99971224826044,54.01672159739128,10
