Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,
Belize,1.317656985,1.234021604,1.255463031,1.246661051,1.264489151,1.313478044,1.315217205,1.273809214,1.278315418,1.231702827,1.210504506,1.180894198,1.182632055,1.128957931,1.121438143,1.118785867,1.137444621,1.157582675,1.166010103,1.125600397,1.129282898,1.151228309,1.23902154,1.264288425,1.312484026,1.318525077,1.342274308,1.375065088,1.345150583,1.343848549,1.374116305,,,,,,,,,,,,,,,,,,,,
Bermuda,0.872521829,0.898253405,0.902951745,0.92788761,0.92629039,0.945176343,1.200738623,1.2278817,1.247503795,1.263101284,1.183142956,1.141896761,1.220570027,1.232165466,1.256161884,1.300595461,1.330274258,1.380650274,1.423497607,1.427470665,1.44258238,1.396796823,1.459248186,1.441759466,1.431727291,1.419243693,1.39972508,1.366415857,1.355566858,1.373367092,,,,,,,,,,,,,,,,,,,,,
Bolivia,0.947327699,1.078434611,1.193578865,1.242407614,1.313165349,1.433173282,1.570383492,1.631835319,1.727455289,1.743934942,1.794425552,1.788748118,1.810565526,1.890073696,1.987170442,2.041628624,2.252427155,2.355238343,2.550136428,2.469598794,2.65542569,2.980911966,3.045481924,3.033396718,3.017755505,2.940697673,2.834712032,2.748943567,2.766534612,2.699178021,2.5956251,,,,,,,,,,,,,,,,,,,,
Brazil,1.16E-05,5.75E-05,0.000600851,0.012333746,0.290164164,0.538560948,0.626496027,0.663477112,0.68840103,0.732962857,0.757127833,0.801815096,0.866669186,0.970763721,1.018595172,1.061232495,1.099839888,1.14003449,1.216451437,1.295539855,1.388488194,1.473216414,1.605704428,1.701276303,1.81320107,1.988814118,2.133081673,2.181556939,2.226136824,2.28071255,2.361702855,,,,,,,,,,,,,,,,,,,,
Barbados,1.619005715,1.636444062,1.633939856,1.679047673,1.680271816,1.662486353,1.67403508,1.660746518,1.785192834,1.837803718,1.773838818,1.774914366,1.763139349,1.750308829,1.80375835,1.865906091,1.88835492,1.994091415,1.988556292,1.94026023,1.991140718,2.018887044,2.122737168,2.145609856,2.173118112,2.130779507,2.118868111,2.203005076,2.211073772,2.226751871,2.237811859,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,0.441102189,0.41456723,0.412329674,0.39089833,0.349185037,0.351839631,0.361022421,0.385370374,0.3366907,0.370378996,0.467398514,0.431791051,0.426658134,0.444450092,0.501553288,0.577681919,0.617052518,0.607643275,0.671704263,0.519355966,0.599047159,0.705206811,0.676012278,0.668107867,0.649697363,0.685113609,0.666354418,0.646853626,0.689913655,0.655203363,0.577129625,,,,,,,,,,,,,,,,,,,,
Bhutan,6.084700886,6.411915946,6.82845554,7.238297193,7.961583956,8.444093594,8.964980375,9.950493707,10.89223088,11.3997201,11.97003493,12.34079602,12.72632772,12.87739044,13.00438499,13.35597367,13.66627943,13.70183543,14.18103113,14.7431274,15.42647881,16.39680477,17.14760791,18.13540276,18.67707059,18.58677466,18.83104694,19.2083398,19.08797903,18.9357169,20.10600125,,,,,,,,,,,,,,,,,,,,
Botswana,0.9645637,0.981320161,1.023155974,1.130054089,1.211137823,1.271144547,1.449414613,1.495953139,1.626749445,1.831871987,2.045734096,2.168233808,2.159815617,2.189543912,2.347036221,2.628292966,2.74173814,2.801581917,2.878096974,3.04091234,3.274011336,3.654658084,3.963786843,4.125849245,4.284429551,4.430125236,4.575057036,4.733849535,4.676811556,4.627071052,4.543652554,,,,,,,,,,,,,,,,,,,,
Central African Republic,219.9345607,211.9109194,212.9546262,200.884333,244.7000418,263.3974478,249.496765,247.2868919,243.5218322,249.8615143,265.1880488,260.601463,250.4586524,249.1783344,231.8728743,234.2867947,234.9868654,233.0461816,244.7777883,244.6545429,252.0210196,256.7613611,262.1289696,254.3471747,290.9452316,283.523781,280.0477986,286.8291496,276.6751504,278.295717,280.1894305,,,,,,,,,,,,,,,,,,,,
Canada,1.241965,1.237997999,1.228098,1.215102,1.20701,1.208840999,1.207821,1.200974,1.185448,1.19081,1.227562999,1.221138999,1.229333001,1.226338,1.233195,1.213644,1.205778,1.212706,1.23439,1.201369,1.221371,1.239904,1.244607,1.224,1.230358,1.248042,1.207045,1.212304,1.198165001,1.213289001,1.206376001,,,,,,,,,,,,,,,,,,,,
